K,family,mean_spearman,seed_variance,n_seeds,n_tasks
16,Semantic textual similarity,0.5198403770142901,0.0,4,4
17,Classification,0.31808966033137276,0.016854978609436935,4,3
17,Clustering,0.4701673430089579,7.526409666826933e-05,4,3
17,Pair classification,0.5093433274799735,0.0,4,1
17,Semantic textual similarity,0.5203993832254702,0.0,4,4
18,Classification,0.3176244587508154,0.016479507567862057,4,3
18,Clustering,0.47016734300895796,8.250739440988886e-05,4,3
18,Pair classification,0.5093433274799735,0.0,4,1
18,Semantic textual similarity,0.520410133344916,0.0,4,4
19,Classification,0.31874869040548764,0.016960625494596752,4,3
19,Clustering,0.4721861575277725,8.567811520475557e-05,4,3
19,Pair classification,0.5093433274799735,0.0,4,1
19,Semantic textual similarity,0.5214039221647918,0.0,4,4
20,Classification,0.3189972037153773,0.016578034817613052,4,3
20,Clustering,0.4720762674178824,8.485555571725834e-05,4,3
20,Pair classification,0.5093433274799735,0.0,4,1
20,Semantic textual similarity,0.5216105633496939,0.0,4,4
21,Classification,0.3187408741917809,0.016539671997928596,4,3
21,Clustering,0.4720762674178824,8.485555571725834e-05,4,3
21,Pair classification,0.5093433274799735,0.0,4,1
21,Semantic textual similarity,0.5263935133189792,0.0,4,4
22,Classification,0.3219223871305462,0.016708889614946775,4,3
22,Clustering,0.4721383792191246,8.384899541128842e-05,4,3
22,Pair classification,0.5093433274799735,0.0,4,1
22,Semantic textual similarity,0.5265092050806337,0.0,4,4
23,Classification,0.3222519450892235,0.016641810532658233,4,3
23,Clustering,0.48049521906664766,8.935137478362374e-05,4,3
23,Pair classification,0.5093433274799735,0.0,4,1
23,Semantic textual similarity,0.5307549593263879,0.0,4,4
24,Classification,0.3188734538397828,0.01614022074869509,4,3
24,Clustering,0.4844381808667524,9.460575928795053e-05,4,3
24,Pair classification,0.5093433274799735,0.0,4,1
24,Semantic textual similarity,0.5310487959245723,0.0,4,4
25,Classification,0.3188734538397828,0.01614022074869509,4,3
25,Clustering,0.4844381808667524,9.460575928795053e-05,4,3
25,Pair classification,0.5091235472601933,0.0,4,1
25,Semantic textual similarity,0.532046493878792,0.0,4,4
26,Classification,0.3189444094365535,0.016159636151806975,4,3
26,Clustering,0.4843374482660197,9.634175355858439e-05,4,3
26,Pair classification,0.5129744789372119,0.0,4,1
26,Semantic textual similarity,0.5336163525915079,0.0,4,4
27,Classification,0.3188734538397828,0.01614022074869509,4,3
27,Clustering,0.4838521002806717,9.934679214993051e-05,4,3
27,Pair classification,0.5129744789372119,0.0,4,1
27,Semantic textual similarity,0.5340821911008247,0.0,4,4
28,Classification,0.3191052524824354,0.016143045506757783,4,3
28,Clustering,0.4821937379390796,9.438321135564546e-05,4,3
28,Pair classification,0.5129744789372119,0.0,4,1
28,Semantic textual similarity,0.5353744702502466,0.0,4,4
29,Classification,0.3191052524824354,0.016143045506757783,4,3
29,Clustering,0.482876626479111,9.927655299733123e-05,4,3
29,Pair classification,0.5129744789372119,0.0,4,1
29,Semantic textual similarity,0.5353744702502466,0.0,4,4
30,Classification,0.31988349043320113,0.01622165498826095,4,3
30,Clustering,0.4839588775613621,0.00010812776511732521,4,3
30,Pair classification,0.5129744789372119,0.0,4,1
30,Semantic textual similarity,0.5353744702502466,0.0,4,4
31,Classification,0.31795720239649916,0.01606447665988521,4,3
31,Clustering,0.4870391306416152,0.00011072685006263484,4,3
31,Pair classification,0.5129744789372119,0.0,4,1
31,Semantic textual similarity,0.5353744702502466,0.0,4,4
32,Classification,0.3170483003723554,0.017592748563843515,4,3
32,Clustering,0.48862218526814805,0.00011532226946865112,4,3
32,Pair classification,0.5129744789372119,0.0,4,1
32,Semantic textual similarity,0.5355707025893361,0.0,4,4
33,Classification,0.31716900688324073,0.017326940692814628,4,3
33,Clustering,0.4906063088050666,0.00012579621609140767,4,3
33,Pair classification,0.5129744789372119,0.0,4,1
33,Semantic textual similarity,0.5361297088005162,0.0,4,4
34,Classification,0.3174853641418388,0.0173094831898838,4,3
34,Clustering,0.4906063088050666,0.00012579621609140767,4,3
34,Pair classification,0.5129744789372119,0.0,4,1
34,Semantic textual similarity,0.5369695211620678,0.0,4,4
35,Classification,0.317540323822577,0.017221619244534688,4,3
35,Clustering,0.49079423681908163,0.00013015539923405433,4,3
35,Pair classification,0.5129744789372119,0.0,4,1
35,Semantic textual similarity,0.5394395511320977,0.0,4,4
36,Classification,0.317540323822577,0.017221619244534688,4,3
36,Clustering,0.49079423681908163,0.00013015539923405433,4,3
36,Pair classification,0.5158316217943548,0.0,4,1
36,Semantic textual similarity,0.5434282797947394,0.0,4,4
37,Classification,0.3244862025563627,0.016489924192995258,4,3
37,Clustering,0.49079423681908163,0.00013015539923405433,4,3
37,Pair classification,0.5181864098634286,0.0,4,1
37,Semantic textual similarity,0.5431260819925416,0.0,4,4
38,Classification,0.3244226409408425,0.016547116420381647,4,3
38,Clustering,0.49079423681908163,0.00013015539923405433,4,3
38,Pair classification,0.5141904058674246,0.0,4,1
38,Semantic textual similarity,0.5430986094650692,0.0,4,4
39,Classification,0.32435168534407177,0.01652888709054141,4,3
39,Clustering,0.48866969469453947,0.00012733238866120746,4,3
39,Pair classification,0.5141904058674246,0.0,4,1
39,Semantic textual similarity,0.5435932855963912,0.0,4,4
40,Classification,0.3255224786987118,0.01656096412698961,4,3
40,Clustering,0.48815209635085416,0.00012568856099214832,4,3
40,Pair classification,0.5131914048684235,0.0,4,1
40,Semantic textual similarity,0.5442051737082794,0.0,4,4
41,Classification,0.3255224786987118,0.01656096412698961,4,3
41,Clustering,0.4881520963508541,0.00016202360244629423,4,3
41,Pair classification,0.5171874088644276,0.0,4,1
41,Semantic textual similarity,0.5442051737082794,0.0,4,4
42,Classification,0.325440247216123,0.016551519917509343,4,3
42,Clustering,0.4875883123088092,0.00016252964570235098,4,3
42,Pair classification,0.5171874088644276,0.0,4,1
42,Semantic textual similarity,0.5439304484335541,0.0,4,4
43,Classification,0.32536929161935224,0.016533196736821677,4,3
43,Clustering,0.48766077607692515,0.00016259231652232165,4,3
43,Pair classification,0.5176843032743654,0.0,4,1
43,Semantic textual similarity,0.5439304484335541,0.0,4,4
44,Classification,0.32536929161935224,0.016533196736821677,4,3
44,Clustering,0.48811467000907993,0.00016108794489139885,4,3
44,Pair classification,0.5184692326307234,0.0,4,1
44,Semantic textual similarity,0.5448170618201674,0.0,4,4
45,Classification,0.3255224786987118,0.01656096412698961,4,3
45,Clustering,0.4891442925604416,0.00017652537790722124,4,3
45,Pair classification,0.5184692326307234,0.0,4,1
45,Semantic textual similarity,0.5456019911765254,0.0,4,4
46,Classification,0.32567011094128073,0.016499962843694465,4,3
46,Clustering,0.48999594091209003,0.0001971971783958569,4,3
46,Pair classification,0.5184692326307234,0.0,4,1
46,Semantic textual similarity,0.5465474742648656,0.0,4,4
47,Classification,0.32653393031225225,0.016347189957622053,4,3
47,Clustering,0.48999594091209003,0.0001971971783958569,4,3
47,Pair classification,0.5184692326307234,0.0,4,1
47,Semantic textual similarity,0.5500974956720298,0.0,4,4
